label,text
this text expresses anger,@user What? Hillary has 27 different controversies and she gets asked NOTHING about any of them. Truth is she's a horrible candidate 
this text expresses anger,Fucking hell. Rush for the damn train also no use. Fucking 4min wait. Still sweating. #rage #smrtruinslives 
this text expresses anger,stand on ze point! standing near ze hurting. good to lose. zhe flesh is exciting! oh ho hoh! zhat book certainly seems angry! 
this text expresses anger,All hell is breaking loose in Charlotte. #CharlotteProtest  #looting 
this text expresses anger,@user apparently u left a calling card... @ which address cos it certainly wasn't the address u were supposed to be delivering 2!!! #awful 
this text expresses anger,@user #crap sorry but doesn’t work 
this text expresses anger,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage 
this text expresses anger,"So me and my mom were talking about highschool, I'm shy so she said that she thinks I'm gonna get bullied😒 #shy #me #mylife #moms #bullying "
this text expresses anger,World is facing #terrorism. Where #Terrorist's school exist? Who are terrorist's teacher &amp; father. Which is terrorist's motherland? 
this text expresses anger,"smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you. "
this text expresses anger,"#Hateful , #horrible , #horrendous ... = last night's speech in summary @user @user @user #PhoenixProtests #PhoenixRally "
this text expresses anger,"Especially true if there is an impulsive, thin-skinned bully who likes to silence critics &amp; opponents as president. #voxconversations "
this text expresses anger,@user Which #chutiya #producer #invested in #crap #deshdrohi ?? 
this text expresses anger,"----- #phobia = irrational fear of or aversion to something. Synonyms: dread, horror, terror, dislike, distaste, aversion BUT not a crime "
this text expresses anger,@user i can't bully you and niall impossible😙 
this text expresses anger,Inner conflict happens when we are at odds with ourselves. Honor your values and priorities. #anger #innerconflict #conflict #values 
this text expresses anger,@user @user fuming 
this text expresses anger,"WTF is happening with @user sale website. Lost my order, other order is going to someone else with me paying #raging "
this text expresses anger,"The one most important thing we forget. That we need to denounce terrorism, not stoke communalism  #AmarnathTerrorAttack "
this text expresses anger,How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder #offended 
this text expresses anger,"@user gives a frustrated growl, before stepping closer and putting his gun through the barrier. No alarms and nothing happened. He- "
this text expresses anger,India should now react to the uri attack..... #revenge 
