label,text
anger,@user What? Hillary has 27 different controversies and she gets asked NOTHING about any of them. Truth is she's a horrible candidate 
anger,Fucking hell. Rush for the damn train also no use. Fucking 4min wait. Still sweating. #rage #smrtruinslives 
anger,stand on ze point! standing near ze hurting. good to lose. zhe flesh is exciting! oh ho hoh! zhat book certainly seems angry! 
anger,All hell is breaking loose in Charlotte. #CharlotteProtest  #looting 
anger,@user apparently u left a calling card... @ which address cos it certainly wasn't the address u were supposed to be delivering 2!!! #awful 
anger,@user #crap sorry but doesn’t work 
anger,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage 
anger,"So me and my mom were talking about highschool, I'm shy so she said that she thinks I'm gonna get bullied😒 #shy #me #mylife #moms #bullying "
anger,World is facing #terrorism. Where #Terrorist's school exist? Who are terrorist's teacher &amp; father. Which is terrorist's motherland? 
anger,"smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you. "
anger,"#Hateful , #horrible , #horrendous ... = last night's speech in summary @user @user @user #PhoenixProtests #PhoenixRally "
anger,"Especially true if there is an impulsive, thin-skinned bully who likes to silence critics &amp; opponents as president. #voxconversations "
anger,@user Which #chutiya #producer #invested in #crap #deshdrohi ?? 
anger,"----- #phobia = irrational fear of or aversion to something. Synonyms: dread, horror, terror, dislike, distaste, aversion BUT not a crime "
anger,@user i can't bully you and niall impossible😙 
anger,Inner conflict happens when we are at odds with ourselves. Honor your values and priorities. #anger #innerconflict #conflict #values 
anger,@user @user fuming 
anger,"WTF is happening with @user sale website. Lost my order, other order is going to someone else with me paying #raging "
anger,"The one most important thing we forget. That we need to denounce terrorism, not stoke communalism  #AmarnathTerrorAttack "
anger,How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder #offended 
anger,"@user gives a frustrated growl, before stepping closer and putting his gun through the barrier. No alarms and nothing happened. He- "
anger,India should now react to the uri attack..... #revenge 
anger,And the United fan boys cover their eyes in horror 
anger,Fuckin hell even seeing your face makes me fume 
anger,"@user @user @user Hey, Jayme! Were your👂👂 burning cuz I was talking about you?😁 Are you going tomorrow? "
anger,"Mothafuckas wanna adopt the dark, but I was born in it "
anger,I am often disturbed by what some people find appropriate or acceptable. It's not funny nor cute that adults find this stuff humorous.  
anger,At #UNGA Pakistan clearly shows the face of cowardliness and blatant lies! Its time for #India to act upon terror. 
anger,"@user @user I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots. "
anger,Not sure that men can handle a woman that's got her crap together.  #independent 
anger,Donnie trumpeter is a vapid and vacant vile viper slithering through the landscape and playing on the gears of the fearful and afraid. 
anger,Any #GOP senator who refuses to #RepealAndReplace needs to bear the #wrath of their constituents @ polls home state!  #healthcare #price2pay 
anger,@user Nope we don't have it. It's an #outrage 
anger,Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18 
anger,@user can you maybe break it down into smaller bits? or space it out so it doesnt seem to daunting? 
anger,#AmarnathTerrorAttack  Muslims are killing everywhere Syria Iraq Palestine Everyday beyond They say that Islam is terrorism shame on you 
anger,There's nothing interesting here besides of retweet for follow #annoyed 😣😣 
anger,@user bully 
