label,text
the state of being angry,@user What? Hillary has 27 different controversies and she gets asked NOTHING about any of them. Truth is she's a horrible candidate 
the state of being angry,Fucking hell. Rush for the damn train also no use. Fucking 4min wait. Still sweating. #rage #smrtruinslives 
the state of being angry,stand on ze point! standing near ze hurting. good to lose. zhe flesh is exciting! oh ho hoh! zhat book certainly seems angry! 
the state of being angry,All hell is breaking loose in Charlotte. #CharlotteProtest  #looting 
the state of being angry,@user apparently u left a calling card... @ which address cos it certainly wasn't the address u were supposed to be delivering 2!!! #awful 
the state of being angry,@user #crap sorry but doesn’t work 
the state of being angry,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage 
the state of being angry,"So me and my mom were talking about highschool, I'm shy so she said that she thinks I'm gonna get bullied😒 #shy #me #mylife #moms #bullying "
the state of being angry,World is facing #terrorism. Where #Terrorist's school exist? Who are terrorist's teacher &amp; father. Which is terrorist's motherland? 
the state of being angry,"smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you. "
the state of being angry,"#Hateful , #horrible , #horrendous ... = last night's speech in summary @user @user @user #PhoenixProtests #PhoenixRally "
the state of being angry,"Especially true if there is an impulsive, thin-skinned bully who likes to silence critics &amp; opponents as president. #voxconversations "
the state of being angry,@user Which #chutiya #producer #invested in #crap #deshdrohi ?? 
the state of being angry,"----- #phobia = irrational fear of or aversion to something. Synonyms: dread, horror, terror, dislike, distaste, aversion BUT not a crime "
the state of being angry,@user i can't bully you and niall impossible😙 
the state of being angry,Inner conflict happens when we are at odds with ourselves. Honor your values and priorities. #anger #innerconflict #conflict #values 
the state of being angry,@user @user fuming 
the state of being angry,"WTF is happening with @user sale website. Lost my order, other order is going to someone else with me paying #raging "
the state of being angry,"The one most important thing we forget. That we need to denounce terrorism, not stoke communalism  #AmarnathTerrorAttack "
the state of being angry,How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder #offended 
the state of being angry,"@user gives a frustrated growl, before stepping closer and putting his gun through the barrier. No alarms and nothing happened. He- "
the state of being angry,India should now react to the uri attack..... #revenge 
the state of being angry,And the United fan boys cover their eyes in horror 
the state of being angry,Fuckin hell even seeing your face makes me fume 
the state of being angry,"@user @user @user Hey, Jayme! Were your👂👂 burning cuz I was talking about you?😁 Are you going tomorrow? "
the state of being angry,"Mothafuckas wanna adopt the dark, but I was born in it "
the state of being angry,I am often disturbed by what some people find appropriate or acceptable. It's not funny nor cute that adults find this stuff humorous.  
the state of being angry,At #UNGA Pakistan clearly shows the face of cowardliness and blatant lies! Its time for #India to act upon terror. 
the state of being angry,"@user @user I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots. "
the state of being angry,Not sure that men can handle a woman that's got her crap together.  #independent 
the state of being angry,Donnie trumpeter is a vapid and vacant vile viper slithering through the landscape and playing on the gears of the fearful and afraid. 
the state of being angry,Any #GOP senator who refuses to #RepealAndReplace needs to bear the #wrath of their constituents @ polls home state!  #healthcare #price2pay 
the state of being angry,@user Nope we don't have it. It's an #outrage 
the state of being angry,Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18 
the state of being angry,@user can you maybe break it down into smaller bits? or space it out so it doesnt seem to daunting? 
the state of being angry,#AmarnathTerrorAttack  Muslims are killing everywhere Syria Iraq Palestine Everyday beyond They say that Islam is terrorism shame on you 
the state of being angry,There's nothing interesting here besides of retweet for follow #annoyed 😣😣 
the state of being angry,@user bully 
the state of being angry,@user update may have been the worst mistake of my day #horrible 
the state of being angry,Might just leave and aggravate bae 
the state of being angry,"I hate that if I don't start the conversation, there won't be one. "
