label,text
this text expresses anger,"Last night Mr Smith said : ` We are mad with this programme , and especially with Barth ."
this text expresses anger,"When the king saw him he fell into a passion, and ordered him to be cast into the deepest dungeon."
this text expresses anger,"@RadiateZen That's true, it does go both ways. But I've been on the receiving end of a vegans wrath! Lol! I personally wouldn't condemn"
this text expresses anger,"Nurse practitioner: 'you look pretty bad. No offense of course.'  \n\nThank you, that really added that spark of positivity I needed today."
this text expresses anger,@Huntley22 haha fucking hell i know ay. shit son he's just making trouble. we could take him.
this text expresses anger,Me: *sees incense burner* is this for drugs?
this text expresses anger,why does twitter hate me i cant put no photos on my page
this text expresses anger,@velvetella Hey! Polka dots or black dress. Both very glam. Mobile twitter's a bit crap at the mo.
this text expresses anger,I was very angry at my father when he didn't give me as much money as my brother to use for studying. Once again my brother was better off then me.
this text expresses anger,Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme #snap #nudes #tits #snapchat
this text expresses anger,Never really had the experience just yet - N/A.
this text expresses anger,"When my father made my mother go through really terrible situations, I felt furious, impotent, nervous, upset, ........"
this text expresses anger,"I felt anger when at the end of a telephone call, a good friend told me that she would go to travel next year with another good friend. We couldn't talk this out."
this text expresses anger,@ coming to work w/ a rag on your head.
this text expresses anger,@KimLy resent
this text expresses anger,She stopped as she saw the look of annoyance on his face .
this text expresses anger,why bother @ing at celebs? eh? cause it's almost like talking to them
this text expresses anger,"There they lay with their anger, holding their heads on one side and blinking the eye that was turned upwards."
this text expresses anger,My mother in law slept in my bed.
this text expresses anger,One minister was miffed yesterday when he found his seat occupied by a journalist talking to a fellow cabinet member before the meeting began .
this text expresses anger,When my chief accused me of an error that I hadn't made.
this text expresses anger,My bicycle was demolished.
this text expresses anger,"Now it was the Young King who drew back and , doubtless to their father 's immense exasperation , refused to accept Richard 's homage ."
this text expresses anger,The time when someone let the air out of the tyres of my cycle.
this text expresses anger,"Then the old King said: ""Be easy, he shall be punished,"" and he at once flew with the Queen to the bear""s cave, and called in: ""Old Growler, why have you insulted my children?"
this text expresses anger,No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE
this text expresses anger,@jordaaaannnn Damn i wanna see the rest!! i only saw like 30 minutes
this text expresses anger,Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!
this text expresses anger,Changed my clothes at work and had my pre-workout..  In route to the gym and there is traffic all over - pre workout kicking in.. #rage
this text expresses anger,cleaning and packing. Moving house is shit. It's going to be a long weekend....
this text expresses anger,"Thora is a strong supporter of Help The Aged , and highly indignant that older people are often treated differently the moment they become pensioners ."
this text expresses anger,"@chezpim they are terrible little beast but if the garden is small you can simply collect them, or you can buy poisonous food pellets"
this text expresses anger,@BigCatJared   What did I do to you!  sheesh
this text expresses anger,"@EricMM76 What's sad is that I actually had to google that term. That sucks, tho."
this text expresses anger,i may cry damn this weather got my ass burnt (nt literally jus my shins arms n chest) legs hurt lyk a biatch  slightly enjoy it tho ha
this text expresses anger,"@SwiftShimada SPARKLES, proud little huff. Still posing mind you."
this text expresses anger,His whiskers bristled and his coat collar stood on end with rage.
this text expresses anger,After having quarelled with a relative of mine about politics.
this text expresses anger,When I was teased by my friend for not scoring good marks in the exams.
this text expresses anger,"OMG, Tony Hawk's motion on the nintendo DS sucks ass!"
this text expresses anger,"Boys are stupid, throw rocks at them"
this text expresses anger,When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms
this text expresses anger,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed
this text expresses anger,Now that I have my ex's number now its time to prank him. #revenge #prank #whatprankIshoulddo seriously what prank I should I do
this text expresses anger,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡
this text expresses anger,Thurston offers Gallen a ‘peace’ of his mind: NORTH Queensland playmaker Johnathon Thurston insists he holds no grudge against Paul G...
this text expresses anger,@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned
this text expresses anger,hut myself in the face with a hammer earlier by accident  obviously it hurts.
this text expresses anger,"A friend got angry and drove \like a lunatic\"" with me and others á|in his car. I was angry about his dangerous driving."""
this text expresses anger,@Toucherandrich there was a US diver named steele johnson. i'd like him barred from the olympics.
this text expresses anger,@tmz @HarveyLevinTMZ   Hell hath no fury like a women scorned.    It's the affair.  Not the parenting
this text expresses anger,"A drunken friend of mine was beating up another friend, who was also drunk."
this text expresses anger,"For a long time the giant felt nothing, but at last he awoke, pushed his comrade, and said: ""Why are you knocking me?"""
this text expresses anger,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite #inflame
this text expresses anger,She 's really riled now .
this text expresses anger,"At last he went to the judge, and complained that a rascal had robbed him of his money, and beaten him into the bargain; and that the fellow who did it carried a bow at his back and a fiddle hung round his neck."
this text expresses anger,I reached the bus stop and realized that I had forgotten my bus pass.
this text expresses anger,@dragonflyeyes nick's voice still makes me wanna kill things
this text expresses anger,I played chess with my 12-year-old brother. I made a stupid mistake - and he won!
this text expresses anger,I bought an aquarium which made me much pleasure. I was watching the fish when my father came in and asked me how much I had payed for it. He said he would not pay for the current that it would require.
this text expresses anger,@delta correction 26 ppl. Checked in. Standing at the gate. &amp; Flt 1449 took off without us.
this text expresses anger,"Residential workers are faced with youngsters who are not only anxious and resentful about family events , but may also be mistrustful of those who try to help them ."
this text expresses anger,Stupid people piss me off...busted my ass...and my coworker takes off with all the tips...thnx for nothing #angry #thatsmyluck
this text expresses anger,I'm drawning in emails
this text expresses anger,@caniszczyk Agreed! Though Eclipse apps hinder collecting the heap dump by catching OOME. Had to muck about in JConsole
this text expresses anger,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics #relentless
this text expresses anger,"Because it was a perfect illusion, but at least now I know what it was. #angry #ladygaga #iscalming#mysoul"
this text expresses anger,I was angry when someone stole a magazine which I had borrowed from another friend and locked it in a drawer.
this text expresses anger,I was angry about several drivers who showed an aggressive and dangerous driving habit.
this text expresses anger,"When a person the same age as me insisted that I call him \Mister\"".  I refused to succumb, but he persisted and I got angry á|as he had belittled me."""
this text expresses anger,"The woman said: ""But I have nothing but bread and cheese."""
this text expresses anger,"A friend whom I had gone out of my way to do something for did not bother to acknowledge my efforts, and treated me badly thereafter."
this text expresses anger,"This is not enough!"""
this text expresses anger,"@savageimiike one of my favorite songs brother, real talk. #rage"
this text expresses anger,And Mr. McGregor was very angry too.
this text expresses anger,"I was mad about her being killed , mad at whoever killed her ."
this text expresses anger,"I had a quarrel with my father, because I was of the opinion that he decided in an authoritarian way which TV program we should watch. I became very angry and started throwing things through the room."
this text expresses anger,Philip was mad at himself for not taking the cutters off the boy .
this text expresses anger,"His face was livid , and his hand had clapped to his sword ."
this text expresses anger,"@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat"
this text expresses anger,"She put on her many-league boots, in which she covered an hour""s walk at every step, and it was not long before she overtook them."
this text expresses anger,"@lindentreephoto yeah, its super crap today   Stupid writing!  ugh"
this text expresses anger,"@soviet_star Damn, that sucks"
this text expresses anger,@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone
this text expresses anger,"Now don't be obstinate, or I shall bite you with my white teeth.
anger,,Away, away,"" barked the old yard-dog."
this text expresses anger,"My mother and her friends were speaking badly about my father when they were separated, and my brothers and sisters and myself were allowed to listen."
this text expresses anger,"And now as he was walking slowly through the sand, and the sun was burning hot at noon-day, he grew quite hot-tempered and angry."
this text expresses anger,"One day he said to himself, ""What shall I do with it? if I sell it, it will bring no more than another; and for eating, the little turnips are better than this; the best thing perhaps is to carry it and give it to the king as a mark of respect."""
this text expresses anger,@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines  #con!
this text expresses anger,"In the University we were convoked to a stroll like a freshman I was still innocent about the manipulation. On seeing the goal of the exaltation to poor character people, I felt anger on feeling myself mass of maneuver."
this text expresses anger,I'd rather dump gasoline all over myself and run into a burning building than use Excel.
this text expresses anger,"She's foaming at the lips the one between her hips @realobietrice, one of many great lyrics"
this text expresses anger,@girltrumpet yeahh  idk if i like owen anymore though... i kinda lost respect for him in an episode i recorded...
this text expresses anger,@davenavarro6767  it so sucks not having fast internet   dial up sucks everything takes to long to load no way i would have won
this text expresses anger,"When I was dismissed unjustly from the firm where I worked, because there where persons that didn't have problems, and wouldn't miss in the jobs they occupied if they were dismissed."
this text expresses anger,"The reporter , whose English was stilted and hesitant , tried to get an answer from a miffed Atherton who refused saying he had already answered the same question ."
this text expresses anger,@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain #angry
this text expresses anger,Ew traffic
this text expresses anger,"I jumped highest, after all, said the Flea."
this text expresses anger,Tummy hurts  oh noes
this text expresses anger,"Then the mannikin grew very angry and said he was to do it, but the huntsman would not, and took my dear mannikin, and gave him a thorough beating."
this text expresses anger,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster."
this text expresses anger,"Then he went out and cut willows, and brought them home, and she began to weave; but it made her fingers very sore."
this text expresses anger,dammit @TMobile whays going on!!! 😤😤😤😤 lol #raging #smh #mobilefails
this text expresses anger,But he has an out of date script. That's really bad. So midway thru his pitch we catch it. He gets all butthurt and storms out. His loss.
this text expresses anger,For every minute you are angry you lose sixty seconds of happiness. - Ralph Waldo Emerson #quote
this text expresses anger,Connie's fuming at Bake Off and went 'fuck this I'm starting on the vodka'
this text expresses anger,"But the youth begged for a hearing, and said, ""She stole into my room in the night and questioned me, otherwise she could not have discovered it."""
this text expresses anger,Someone spread rumours about me.
this text expresses anger,Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her
this text expresses anger,Circle K is dead to me. I hate your new slushie machine. #irate #livid
this text expresses anger,I felt angry when my friend told me that I had stolen her money.
this text expresses anger,Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.
this text expresses anger,@esraalajmy huff btw ty😔
this text expresses anger,"@jaulin Maybe you have, my memory sucks."
this text expresses anger,"'I certainly am vexed,' said the basket; 'inwardly vexed, more than any one can imagine."
this text expresses fear,"But the garter was naturally shy, and did not know how to answer such a question."
this text expresses anger,"Get away; don't come so near me,"" said the garter, ""you appear to me quite like a man."""
this text expresses anger,Gah! I left my glasses at work and reading is giving me a headache.  I can't believe how much I need them these days.  Old age.
this text expresses anger,#Scorpio always seek revenge!
this text expresses anger,An argument among friends in which my opinions on the way to spend spare time were disapproved.
this text expresses anger,i want a ghd straightener but the shipping costs 50 pounds? NO DEAL!
this text expresses anger,"At first Anne felt indignant with Joe , but when she thought it over , realised the good sense of his warning ."
this text expresses anger,I was waiting to receive the participation on the profits and did not receive it.
this text expresses anger,"The day the results of the Chinese university was announced I should have been very happy; however my grandmother, because of  her prejudice and misunderstanding, started a  quarrel with my mother.  She expected me to take her side and she deliberately talked of my mother's wrong doings.  I was very angry because - one my grandmother was not being reasonable and two because it should have been a happy day and three we had moved into a new house that day."
this text expresses anger,@tony_tr3 I'd say your outrage is the really FAUX outrage.
this text expresses anger,"says, who are you to compared me with the others; I'm just human. #lit #fire #burning"
this text expresses anger,Brother continually interupting while I was talking on the telephone.
this text expresses anger,I hate that I am so stinkin tired everyday!  It's so hard to get up...I thought I was supposed to start getting energy back now.
this text expresses anger,"How can I tell Happy Anniversary, when u are not happy..  #ampalaya #paitpaitanangpeg"
this text expresses anger,@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits
this text expresses anger,"I think Paul is what's bitter, not the pastry"
this text expresses anger,I miss doing nothing someone I care about and attacking their face with kisses. #foreveralone #bitter 😩
this text expresses anger,I was supposed to meet my girlfriend at a pre-arranged place but it took me an hour to find her.
this text expresses anger,"When youre kawawa, you make me kawawa cuz i hate seeing you so kawawa's  ohhhhh &lt;3"
this text expresses anger,@josephperson Cam is still rattled from the backlash he received when he made the black QB comment and suffered the wrath of White America.
this text expresses anger,When a grown adult doesn't drink or has never drank before I just assume they were raised around a raging alcoholic and they want no parts.
this text expresses anger,My brother accused me undeservedly before my parents. I was not guilty. He was misled by his wife.
this text expresses anger,"Influenced by those remarks, the bird next morning refused to bring in the wood, telling the others that he had been their servant long enough, and had been a fool into the bargain, and that it was now time to make a change, and to try some other way of arranging the work."
this text expresses anger,@1BearTruth standard bitter response .... how's it feel to be the small club in a big city
this text expresses anger,Why does Candice constantly pout #GBBO 💄😒
this text expresses anger,"When my friend, as usual, forgot the tickets at home for a performance.  We missed it."
this text expresses anger,I'm really mad at the world today. Today is just a sucky day.
this text expresses anger,@matthew_meadows Since it's a friend of Pereg's I don't want to offend :) #Peace
this text expresses anger,"Yeah, no. I don' mind tweetin' that twice.  #blm #likeThat"
this text expresses anger,"He was incensed , stunned , at her action , and stood rigid with anger as he felt the slime roll down his cheek ."
this text expresses anger,Mrs. Tittle- mouse began to get cross.
this text expresses anger,"fuuuuu, helllla sleepy, had no lunch, now I'm working 4 to 10... gota wait till 6 to eat."
this text expresses anger,@WinchesterGank If only. Lol I just wish once he understood the crazy of his rabid fans &amp; addressed it.
this text expresses anger,People irritate me 🙄
this text expresses anger,"LIVID Mia Farrow beat her adopted daughter Soon-Yi with a chair after finding out about her affair with Woody Allen , it was claimed yesterday ."
this text expresses anger,Happy mothers day  I'm so hungry and the resturants are all closed... Damn
