label,text
anger,"Last night Mr Smith said : ` We are mad with this programme , and especially with Barth ."
anger,"When the king saw him he fell into a passion, and ordered him to be cast into the deepest dungeon."
anger,"@RadiateZen That's true, it does go both ways. But I've been on the receiving end of a vegans wrath! Lol! I personally wouldn't condemn"
anger,"Nurse practitioner: 'you look pretty bad. No offense of course.'  \n\nThank you, that really added that spark of positivity I needed today."
anger,@Huntley22 haha fucking hell i know ay. shit son he's just making trouble. we could take him.
anger,Me: *sees incense burner* is this for drugs?
anger,why does twitter hate me i cant put no photos on my page
anger,@velvetella Hey! Polka dots or black dress. Both very glam. Mobile twitter's a bit crap at the mo.
anger,I was very angry at my father when he didn't give me as much money as my brother to use for studying. Once again my brother was better off then me.
anger,Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme #snap #nudes #tits #snapchat
anger,Never really had the experience just yet - N/A.
anger,"When my father made my mother go through really terrible situations, I felt furious, impotent, nervous, upset, ........"
anger,"I felt anger when at the end of a telephone call, a good friend told me that she would go to travel next year with another good friend. We couldn't talk this out."
anger,@ coming to work w/ a rag on your head.
anger,@KimLy resent
anger,She stopped as she saw the look of annoyance on his face .
anger,why bother @ing at celebs? eh? cause it's almost like talking to them
anger,"There they lay with their anger, holding their heads on one side and blinking the eye that was turned upwards."
anger,My mother in law slept in my bed.
anger,One minister was miffed yesterday when he found his seat occupied by a journalist talking to a fellow cabinet member before the meeting began .
anger,When my chief accused me of an error that I hadn't made.
anger,My bicycle was demolished.
anger,"Now it was the Young King who drew back and , doubtless to their father 's immense exasperation , refused to accept Richard 's homage ."
anger,The time when someone let the air out of the tyres of my cycle.
anger,"Then the old King said: ""Be easy, he shall be punished,"" and he at once flew with the Queen to the bear""s cave, and called in: ""Old Growler, why have you insulted my children?"
anger,No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE
anger,@jordaaaannnn Damn i wanna see the rest!! i only saw like 30 minutes
anger,Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!
anger,Changed my clothes at work and had my pre-workout..  In route to the gym and there is traffic all over - pre workout kicking in.. #rage
anger,cleaning and packing. Moving house is shit. It's going to be a long weekend....
anger,"Thora is a strong supporter of Help The Aged , and highly indignant that older people are often treated differently the moment they become pensioners ."
anger,"@chezpim they are terrible little beast but if the garden is small you can simply collect them, or you can buy poisonous food pellets"
anger,@BigCatJared   What did I do to you!  sheesh
anger,"@EricMM76 What's sad is that I actually had to google that term. That sucks, tho."
anger,i may cry damn this weather got my ass burnt (nt literally jus my shins arms n chest) legs hurt lyk a biatch  slightly enjoy it tho ha
anger,"@SwiftShimada SPARKLES, proud little huff. Still posing mind you."
anger,His whiskers bristled and his coat collar stood on end with rage.
anger,After having quarelled with a relative of mine about politics.
anger,When I was teased by my friend for not scoring good marks in the exams.
anger,"OMG, Tony Hawk's motion on the nintendo DS sucks ass!"
anger,"Boys are stupid, throw rocks at them"
anger,When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms
anger,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed
anger,Now that I have my ex's number now its time to prank him. #revenge #prank #whatprankIshoulddo seriously what prank I should I do
anger,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡
anger,Thurston offers Gallen a ‘peace’ of his mind: NORTH Queensland playmaker Johnathon Thurston insists he holds no grudge against Paul G...
anger,@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned
anger,hut myself in the face with a hammer earlier by accident  obviously it hurts.
anger,"A friend got angry and drove \like a lunatic\"" with me and others á|in his car. I was angry about his dangerous driving."""
